class,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,0.111,0.442,294653,0.833,0.0111,2,0.267,-4.572,0,0.0398,134.435,4,0.396
1,0.000791,0.45,176053,0.881,0.0025,9,0.136,-6.31,0,0.0683,154.005,4,0.709
1,0.161,0.524,442160,0.536,0.00431,6,0.162,-16.804,0,0.0322,97.21,4,0.347
1,0.0178,0.379,234787,0.932,0.00215,2,0.0738,-4.531,1,0.0937,184.854,4,0.791
1,0.0298,0.556,191040,0.855,0.113,9,0.102,-3.894,0,0.0309,119.903,4,0.6
1,0.00329,0.435,287293,0.715,0.00113,7,0.31,-5.77,1,0.0695,159.977,4,0.764
1,9.54e-05,0.263,245893,0.753,0.53,9,0.912,-5.774,0,0.0594,165.248,4,0.471
1,0.0155,0.344,334307,0.922,6.21e-05,0,0.288,-4.857,1,0.12,162.495,4,0.644
1,0.00149,0.444,269627,0.844,1.64e-05,9,0.087,-3.62,1,0.0528,155.517,4,0.414
1,0.0413,0.388,182867,0.761,6.07e-05,5,0.413,-10.805,1,0.0344,158.774,3,0.556
1,0.0738,0.794,309133,0.377,1.32e-05,5,0.347,-17.32,1,0.0339,119.906,4,0.711
1,0.0435,0.583,266493,0.878,5.8e-05,7,0.233,-4.45,1,0.0375,105.966,4,0.622
1,0.00649,0.271,321067,0.763,0.00066,11,0.075,-5.738,0,0.0645,189.363,4,0.504
1,0.178,0.705,186627,0.546,0.0,2,0.287,-18.079,1,0.0454,127.803,4,0.894
1,0.0107,0.51,272173,0.761,2.16e-05,11,0.0735,-4.786,0,0.0316,136.998,4,0.655
1,0.307,0.629,269947,0.752,4.64e-05,9,0.0868,-5.16,0,0.0494,88.975,4,0.396
1,0.023,0.488,297413,0.471,0.0643,4,0.174,-7.838,1,0.0306,116.056,4,0.215
1,9.14e-06,0.468,221280,0.792,0.00333,10,0.131,-4.922,0,0.0304,141.57,4,0.43
1,0.00092,0.468,293760,0.938,5.63e-06,9,0.344,-3.054,0,0.0421,120.124,4,0.597
1,0.476,0.57,286267,0.567,0.000135,2,0.277,-13.322,1,0.0367,136.754,4,0.539
1,0.0222,0.626,277960,0.712,0.000931,2,0.183,-6.298,1,0.0278,127.199,4,0.407
1,0.0115,0.376,250147,0.944,3.89e-05,11,0.15,-3.882,1,0.0959,138.322,4,0.397
1,0.0256,0.297,202667,0.925,0.0,4,0.0684,-3.168,1,0.0923,167.463,4,0.668
1,0.213,0.429,312547,0.881,0.00365,3,0.045,-4.795,1,0.061,136.218,4,0.496
1,0.00451,0.487,171827,0.698,0.000931,1,0.132,-13.585,0,0.035,157.916,4,0.703
1,0.125,0.618,250067,0.776,5.35e-05,2,0.0808,-5.16,1,0.0402,125.536,4,0.674
1,0.0968,0.619,281467,0.935,0.000172,7,0.307,-7.158,1,0.0358,97.894,4,0.704
1,0.0608,0.278,263432,0.945,0.0,9,0.312,-1.94,0,0.137,176.687,4,0.623
1,0.00119,0.571,203187,0.86,0.0102,2,0.183,-5.879,1,0.0287,133.883,4,0.81
1,0.000226,0.486,277680,0.819,0.0,2,0.0366,-5.334,1,0.0711,101.536,4,0.439
1,0.156,0.57,233493,0.765,0.00528,4,0.317,-5.782,1,0.0264,112.966,4,0.93
1,5.93e-05,0.206,268200,0.81,0.0644,9,0.0855,-6.492,1,0.0423,163.552,4,0.155
1,0.0317,0.461,237987,0.948,0.000269,9,0.508,-4.615,1,0.129,90.364,4,0.751
1,0.00699,0.552,275227,0.741,0.00133,9,0.0317,-7.388,0,0.0476,148.996,4,0.508
1,0.57,0.419,257027,0.354,0.00136,2,0.098,-16.101,1,0.0322,122.397,4,0.81
1,0.255,0.716,317240,0.826,0.000262,9,0.0686,-5.584,1,0.0281,120.145,4,0.459
1,0.161,0.698,251587,0.71,0.0828,9,0.0489,-8.569,1,0.0452,138.797,4,0.691
1,0.0358,0.826,200667,0.703,0.0324,7,0.118,-10.799,1,0.122,150.075,4,0.968
1,0.386,0.424,188413,0.5,0.0,0,0.108,-8.674,1,0.0261,93.697,4,0.39
1,0.0642,0.786,207960,0.552,3.08e-05,2,0.299,-13.885,1,0.0658,121.422,4,0.905
1,0.000566,0.475,184640,0.784,0.505,2,0.198,-3.8,1,0.0469,120.872,4,0.272
1,0.024,0.7,233733,0.526,0.0406,11,0.138,-16.628,0,0.0299,130.288,4,0.923
1,0.00547,0.404,254400,0.843,0.000111,0,0.252,-5.793,1,0.0642,135.904,4,0.497
1,0.00996,0.464,186000,0.754,0.0078,1,0.308,-7.286,1,0.104,94.438,4,0.587
1,0.00283,0.578,219953,0.924,0.00603,7,0.27,-3.496,1,0.0609,122.336,4,0.581
1,0.0521,0.746,223040,0.683,0.0169,11,0.0466,-7.416,0,0.0281,107.314,4,0.815
1,0.279,0.418,162107,0.882,0.000678,2,0.111,-9.083,1,0.0405,94.717,4,0.733
1,0.0622,0.592,213680,0.675,0.000184,4,0.0848,-6.327,1,0.0425,124.145,4,0.458
1,0.172,0.51,222933,0.703,0.0,6,0.29,-5.99,0,0.0407,168.875,4,0.817
1,0.0461,0.602,282640,0.454,5.85e-06,4,0.327,-14.507,1,0.0315,97.956,4,0.816
1,0.752,0.509,173867,0.492,0.00622,9,0.157,-11.809,1,0.0303,100.541,4,0.677
1,0.00921,0.439,207133,0.677,0.0,4,0.132,-11.551,1,0.0384,111.955,4,0.364
1,0.000403,0.536,235880,0.876,0.000428,1,0.0787,-2.95,1,0.0375,112.984,4,0.568
1,0.248,0.637,242133,0.532,0.0849,0,0.11,-13.943,0,0.0339,123.257,4,0.835
1,0.221,0.639,274867,0.861,0.0,10,0.0525,-11.31,0,0.0435,133.268,4,0.824
1,6.19e-05,0.361,238960,0.937,0.000166,4,0.27,-3.179,0,0.0463,147.546,4,0.393
1,0.0076,0.274,380333,0.618,0.42,2,0.123,-14.245,1,0.0447,91.726,4,0.557
1,0.0183,0.61,242307,0.822,0.0,4,0.256,-8.288,1,0.0365,105.251,4,0.722
1,0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422
1,0.0106,0.605,219360,0.885,0.0045,3,0.261,-5.959,1,0.0283,131.891,4,0.835
1,7.37e-06,0.304,195280,0.857,0.251,5,0.373,-4.238,0,0.0449,150.851,4,0.721
1,0.0736,0.586,195760,0.714,0.0,9,0.166,-14.721,1,0.0838,140.874,4,0.858
1,0.0404,0.271,154667,0.882,0.00201,7,0.0826,-8.483,1,0.06,142.92,4,0.423
1,0.0714,0.488,297800,0.364,0.0,7,0.0756,-15.954,1,0.0321,79.707,4,0.544
1,0.43,0.405,225560,0.703,1.03e-05,5,0.135,-4.717,1,0.0348,108.855,4,0.651
1,0.701,0.386,273213,0.295,0.119,2,0.582,-19.276,1,0.0339,151.209,4,0.389
1,0.00047,0.669,255733,0.667,0.00409,5,0.0568,-6.12,1,0.0264,109.016,4,0.662
1,0.115,0.579,237533,0.609,0.000247,2,0.0699,-12.158,1,0.0415,119.811,4,0.614
1,0.11,0.511,249853,0.688,0.272,7,0.0908,-8.592,1,0.0429,161.858,4,0.574
1,0.0363,0.643,202960,0.542,0.000183,6,0.0553,-6.11,0,0.0291,132.164,4,0.64
1,0.0231,0.48,152378,0.867,0.0169,9,0.555,-6.24,0,0.12,151.074,4,0.593
1,0.622,0.66,246304,0.333,0.0494,11,0.136,-7.698,1,0.0418,142.152,4,0.778
1,0.008,0.504,258773,0.633,1.61e-05,7,0.32,-6.804,0,0.036,155.005,4,0.18
1,0.0016,0.512,216721,0.884,0.00215,6,0.0763,-5.659,0,0.168,154.019,4,0.649
1,0.0133,0.46,243840,0.835,0.0,11,0.122,-4.332,0,0.039,99.416,4,0.545
1,0.00106,0.554,202929,0.843,0.0,9,0.0964,-3.549,0,0.0432,150.005,4,0.779
1,0.00643,0.372,213847,0.95,3.08e-05,2,0.0772,-5.015,1,0.11,155.887,4,0.341
1,0.676,0.715,186267,0.564,0.0072,8,0.0854,-5.56,1,0.0456,104.923,3,0.213
1,0.0223,0.548,249296,0.699,0.000392,2,0.0903,-7.149,0,0.0517,132.798,4,0.308
1,0.00208,0.515,235880,0.558,0.0,11,0.219,-5.155,0,0.0405,153.809,4,0.198
1,0.000921,0.486,199827,0.638,0.0,0,0.078,-6.231,1,0.0323,144.458,4,0.178
1,0.00372,0.49,227973,0.946,0.0,2,0.45,-3.17,1,0.0317,152.981,4,0.827
1,0.0054,0.491,214147,0.606,0.0118,1,0.0605,-4.385,1,0.0404,175.895,4,0.585
1,1.42e-05,0.328,187447,0.966,0.0214,4,0.159,-3.516,1,0.113,82.48,4,0.303
1,0.000621,0.315,256072,0.826,0.000669,7,0.0703,-4.315,0,0.0644,139.163,4,0.359
1,0.0292,0.388,215270,0.717,0.0,0,0.097,-5.75,1,0.0333,176.873,3,0.403
1,0.571,0.765,129600,0.327,0.0479,6,0.0787,-8.029,1,0.277,74.931,4,0.292
1,6.26e-05,0.308,174807,0.913,0.516,9,0.108,-2.494,1,0.063,162.945,4,0.436
1,0.00205,0.56,217734,0.558,0.000106,5,0.162,-4.897,1,0.0284,94.014,4,0.376
1,0.000148,0.499,237107,0.938,0.0204,6,0.302,-3.806,0,0.0606,145.047,4,0.479
1,0.00458,0.596,226093,0.811,1.62e-05,1,0.0971,-5.501,0,0.0587,100.032,4,0.475
1,0.000331,0.352,182637,0.777,0.0,4,0.437,-5.002,1,0.0646,177.931,4,0.424
1,0.565,0.798,252893,0.494,0.000475,0,0.228,-9.519,1,0.0685,109.999,4,0.485
1,5.28e-05,0.355,242475,0.872,8.39e-05,3,0.2,-5.877,1,0.0644,76.037,4,0.208
1,0.0153,0.457,185778,0.91,0.0,10,0.401,-3.474,1,0.0433,141.966,4,0.498
1,7.5e-05,0.441,194094,0.947,0.000693,11,0.128,-3.579,1,0.0663,148.952,4,0.412
1,0.0027,0.571,238508,0.719,0.000498,8,0.19,-7.193,0,0.0305,91.995,4,0.603
1,0.0143,0.606,189120,0.739,7.68e-05,2,0.0745,-3.229,1,0.0291,82.033,4,0.458
1,0.0664,0.698,214267,0.736,2.16e-05,2,0.119,-5.525,1,0.0481,127.979,4,0.822
1,0.00205,0.4,217653,0.792,0.000666,2,0.0462,-4.833,1,0.0946,192.064,4,0.49
1,0.00141,0.516,229840,0.623,0.0,4,0.132,-6.207,1,0.0361,139.404,4,0.439
1,0.00155,0.399,248293,0.916,0.52,7,0.137,-5.466,1,0.0884,167.888,4,0.205
1,0.00161,0.403,192280,0.79,0.0,7,0.223,-5.119,1,0.031,162.015,4,0.43
1,0.000897,0.546,178278,0.907,0.000206,7,0.126,-5.256,0,0.0517,155.02,4,0.802
1,0.0113,0.607,209000,0.695,1.01e-05,4,0.482,-6.668,1,0.04,84.94,4,0.551
1,0.316,0.269,191763,0.41,0.133,3,0.259,-7.493,1,0.0286,169.79,3,0.174
1,0.112,0.546,183979,0.745,5.29e-05,11,0.225,-7.172,0,0.0347,91.982,4,0.272
1,0.00417,0.571,183966,0.855,0.0,4,0.0938,-4.622,1,0.0866,136.048,4,0.775
1,0.302,0.405,250107,0.559,0.0,11,0.065,-4.141,0,0.133,173.085,3,0.279
1,0.0106,0.467,184941,0.704,0.0,9,0.0843,-4.5,0,0.035,74.973,4,0.381
1,0.0282,0.613,196852,0.717,0.0,1,0.166,-6.822,1,0.0648,134.885,4,0.279
1,0.0276,0.586,204219,0.841,1.59e-06,7,0.404,-5.434,0,0.0301,96.022,4,0.629
1,0.00194,0.491,275141,0.812,2.44e-06,1,0.175,-5.736,0,0.0392,138.986,4,0.54
1,2.96e-05,0.365,210480,0.978,0.483,8,0.0763,-4.567,0,0.119,179.99,4,0.348
1,0.000579,0.576,204046,0.87,0.063,5,0.48,-5.106,1,0.03,121.028,4,0.608
1,0.142,0.606,230738,0.781,0.00803,1,0.0734,-5.846,1,0.0703,170.007,4,0.632
1,0.0213,0.5,192568,0.787,7.03e-05,10,0.129,-4.08,0,0.0611,187.828,4,0.588
1,0.0306,0.685,176890,0.568,2.93e-06,1,0.458,-6.487,1,0.0575,96.012,4,0.453
1,0.00849,0.61,175893,0.845,0.0,9,0.0291,-6.806,1,0.0559,151.887,4,0.646
1,0.0113,0.371,220538,0.921,2.7e-05,9,0.43,-5.533,1,0.0784,109.675,4,0.508
1,0.0034,0.559,222960,0.705,0.000163,8,0.658,-2.741,1,0.03,97.993,4,0.25
1,0.00183,0.512,195453,0.769,2.19e-06,1,0.102,-4.938,0,0.0653,153.155,4,0.392
1,0.00208,0.625,223784,0.858,8.94e-05,11,0.136,-4.341,0,0.033,134.014,4,0.719
